Title,Post date,Application Deadline,Issues,Institution(s),Other Organization(s),URL,Body,All terms
"Assistant Professor Sustainability Science, Furman U",Oct 6 2014 - 12:07pm,"December 5, 2014","October 7, 2014",Furman University,,https://jobs.furman.edu/postings/4669,,Jobs & Internships
"Director of Environmental Studies Program, Hamline U",Oct 6 2014 - 12:09pm,"December 5, 2014","October 7, 2014",Hamline University,,https://academicjobsonline.org/ajo/jobs/4694,,Jobs & Internships
"Sustainable Dining Coordinator, Colgate U",Oct 6 2014 - 12:09pm,"December 5, 2014","October 7, 2014",Colgate University,,http://blogs.colgate.edu/sustainability/2014/09/24/job-announcement-sustainable-dining-coordinator/,,Jobs & Internships
"Director of Sustainability, U California Merced",Oct 6 2014 - 12:22pm,"December 5, 2014","October 7, 2014","University of California, Merced",,http://jobs.ucmerced.edu/n/staff/position.jsf?positionId=5589,,Jobs & Internships
"Admin Project Coordinator, Sustainability Program, U Texas Dallas",Oct 6 2014 - 1:23pm,"December 5, 2014","October 7, 2014",University of Texas at Dallas,,http://www.utdallasjobs.com/applicants/Central?quickFind=189669,,Jobs & Internships
"Assistant Professor, Sustainability Science, Iowa State U",Oct 12 2014 - 8:27pm,"December 11, 2014","October 14, 2014",Iowa State University,,https://www.iastatejobs.com/postings/7587,,Jobs & Internships
"Asst Prof, Sustainability & Enviro Studies, U Nebraska Kearney",Oct 13 2014 - 1:38pm,"December 12, 2014","October 14, 2014",University of Nebraska at Kearney,,http://agency.governmentjobs.com/unkearney/default.cfm?action=viewJob&jobID=972847&hit_count=yes&headerFooter=1&promo=0&transfer=0&WDDXJobSearchParams=%3CwddxPacket%20version%3D%271.0%27%3E%3Cheader%2F%3E%3Cdata%3E%3Cstruct%3E%3Cvar%20name%3D%27CATEGORYID,,Jobs & Internships
"Sustainability Program Coordinator, U Houston",Oct 13 2014 - 1:57pm,"December 12, 2014","October 14, 2014",University of Houston,,https://jobs.uh.edu/postings/23002,,Jobs & Internships
"Energy Program Manager, California State U",Oct 14 2014 - 1:20pm,"December 13, 2014","October 21, 2014","California State University, Chancellor's Office",,http://www.nweei.org/indeed/energy-program-manager-1011656-california-state-university-california.html,,Jobs & Internships
"Chair/Professor Economics, Stetson U",Oct 14 2014 - 1:46pm,"December 13, 2014","October 21, 2014",Stetson University,,http://www.stetson.edu/other/employment/media/Chair%20and%20Associate%20or%20Full%20Professor%20of%20Economics10092014.pdf,,Jobs & Internships
"Sustainability Manager, U California Los Angeles",Oct 15 2014 - 4:04pm,"December 14, 2014","October 21, 2014","University of California, Los Angeles",,http://hr.mycareer.ucla.edu/applicants/Central?quickFind=64540,,Jobs & Internships
"Sustainability Program Coordinator, U Texas Austin",Oct 16 2014 - 2:25pm,"December 15, 2014","October 21, 2014",University of Texas at Austin,,https://utdirect.utexas.edu/apps/hr/jobs/nlogon/141003018105,,Jobs & Internships
"Asst Director, Diversity & Inclusion, U Mount Union",Oct 20 2014 - 5:40pm,"December 19, 2014","October 21, 2014",University of Mount Union,,https://www.google.com/url?rct=j&sa=t&url=http://www.higheredjobs.com/admin/details.cfm%3FJobCode%3D175966309%26Title%3DAssistant%2520Director%2520for%2520Diversity%2520and%2520Inclusion%2520%2526%2520Coordinator%2520of%2520International%2520Student%2520S,,Jobs & Internships
"Sustainability Manager, California State U San Marcos",Oct 24 2014 - 6:53am,"December 23, 2014","November 4, 2014","California State University, San Marcos",,http://www.jobelephant.com/ads/534228.html,,Jobs & Internships
"Sustainability Manager, McGill U",Oct 24 2014 - 8:04am,"December 23, 2014","November 4, 2014",McGill University,,http://www.goodwork.ca/job=27607,,Jobs & Internships
"Director, Physical Plant, Eureka College",Oct 27 2014 - 11:02am,"December 26, 2014","November 4, 2014",Eureka College,,http://www.eureka.edu/wp-content/uploads/2014/10/Physical-Plant-Project-Manager-2014_v4.pdf,,Jobs & Internships
"Sustainability Director, U Richmond",Nov 3 2014 - 11:24am,"January 2, 2015","November 11, 2014",University of Richmond,,https://richmond.csod.com/ats/careersite/JobDetails.aspx?id=463,,Jobs & Internships
"Asst Professor, Environmental Comm & Sustainability, Iowa State U",Nov 5 2014 - 12:30pm,"January 4, 2015","November 11, 2014",Iowa State University,,https://www.iastatejobs.com/postings/7587,,Jobs & Internships
"Sustainability Specialist, U California Office of the President",Nov 5 2014 - 12:34pm,"January 4, 2015","November 11, 2014","University of California, Office of the President",,http://jobs.ucop.edu/applicants/Central?quickFind=57882,,Jobs & Internships
"Associate Director of Energy & Utilities, U Virginia",Nov 6 2014 - 12:21pm,"January 5, 2015","November 11, 2014",University of Virginia,,http://jobs.virginia.edu/applicants/Central?quickFind=74745,,Jobs & Internships
"Manager, Sustainability Programs, Brandeis U",Nov 13 2014 - 1:55pm,"January 12, 2015","November 18, 2014",Brandeis University,,https://careers.brandeis.edu/psp/CAREERS/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&JobOpeningId=521494&SiteId=1&PostingSeq=1,,Jobs & Internships
"PowerSave Campus Program Associate, Alliance to Save Energy",Nov 17 2014 - 12:56pm,"January 16, 2015","November 25, 2014",Alliance to Save Energy,,https://home2.eease.adp.com/recruit2/?id=10335122&t=1,,Jobs & Internships
"Sustainability Coordinator, U Wisconsin River Falls",Nov 18 2014 - 11:22am,"January 17, 2015","November 25, 2014",University of Wisconsin-River Falls,,https://jobs.uwrf.edu/postings/1060,,Jobs & Internships
"Assistant Professor, Engineering, East Carolina U",Nov 18 2014 - 2:56pm,"January 17, 2015","November 25, 2014",East Carolina University,,https://ecu.peopleadmin.com/applicants/jsp/shared/position/JobDetails_css.jsp,,Jobs & Internships
"Professor, Sustainability Studies, Roosevelt U",Nov 26 2014 - 9:08pm,"January 25, 2015","December 2, 2014",Roosevelt University,,https://jobs.roosevelt.edu/postings/1603,,Jobs & Internships
"Assistant Professor, Environmental Humanities, Arizona State U",Dec 2 2014 - 4:35pm,"January 31, 2015","December 9, 2014",Arizona State University,,http://shprs.clas.asu.edu/about/faculty-positions,,Jobs & Internships
"Assistant Professor, Sustainable Communities, Northern Arizona U",Dec 2 2014 - 4:41pm,"January 31, 2015","December 9, 2014",Northern Arizona University,,https://hr.peoplesoft.nau.edu/psc/ph90prta/EMPLOYEE/HCM/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&JobOpeningId=601154&SiteId=2&PostingSeq=1,,Jobs & Internships
"Internship, Sustainable Agriculture, CEFS",Dec 4 2014 - 12:31pm,"February 2, 2015","December 9, 2014",,"Center for Environmental Farming Systems, North Carolina State University, North Carolina Agricultural and Technical State University",http://www.cefs.ncsu.edu/getinvolved/internships.html,,Jobs & Internships
"Sustainability Program Coordinator, Emory U",Dec 5 2014 - 10:41am,"February 3, 2015","December 9, 2014",Emory University,,http://sustainability.emory.edu/page/1063/Job-Openings,,Jobs & Internships
"Postdoctoral Research Associate, Sustainability, Arizona State U",Dec 9 2014 - 3:31pm,"February 7, 2015","December 16, 2014",Arizona State University,,https://sustainability.asu.edu/docs/gios/jobs/postdoctoral-research-associate-walton-initiatives-final.pdf,,Jobs & Internships
"Faculty, Sustainability Studies & Environ Equity, U Vermont",Dec 9 2014 - 8:43pm,"February 7, 2015","December 16, 2014",University of Vermont,,http://www.uvm.edu/envprog/sites/default/files/faculty_positions_info_1.pdf,,Jobs & Internships
"Facilities Energy Engineer, Seattle U",Dec 9 2014 - 8:55pm,"February 7, 2015","December 16, 2014",Seattle University,,https://jobs.seattleu.edu/postings/17240?jtsrc=http%3A%2F%2Fwww%2Eaashe%2Eorg%2Fpublications%2Fbulletin%2Ephp&jtsrcid=2868&jtrfr=,,Jobs & Internships
"Environmental Program Director, U Vermont",Dec 11 2014 - 11:35am,"February 9, 2015","December 16, 2014",University of Vermont,,http://www.uvm.edu/envprog/sites/default/files/program_director_info_1.pdf,,Jobs & Internships
"Assistant Professor, Sustainability Science, Concordia College",Dec 11 2014 - 11:49am,"February 9, 2015","December 16, 2014",Concordia College-Moorhead,,https://hr.cord.edu/postings/1061,,Jobs & Internships
"Recycling & Waste Minimization Coordinator, Johnson County CC",Dec 11 2014 - 2:28pm,"February 9, 2015","December 16, 2014",Johnson County Community College,,https://careers.jccc.edu/epostings/index.cfm?fuseaction=app.jobinfo&jobid=587&company_id=16951&version=1&source=ONLINE&JobOwner=992291&startflag=1,,Jobs & Internships
"Internships, Second Nature",Dec 18 2014 - 2:21pm,"February 16, 2015","January 6, 2015",Second Nature,,http://www.secondnature.org/who-we-are/employment#op-45212-second-nature-internship-spring-2015,,Jobs & Internships
"Assistant Horticulturist, Office of Sustainability, U Utah",Jan 2 2015 - 4:32pm,"March 3, 2015","January 6, 2015",University of Utah,,https://utah.peopleadmin.com/postings/37990,,Jobs & Internships
"Communications & Marketing Manager, U Massachusetts Amherst",Jan 6 2015 - 1:57pm,"March 7, 2015","January 13, 2015",University of Massachusetts Amherst,,http://umass.interviewexchange.com/jobofferdetails.jsp;jsessionid=DF623CB799A795C35EADBB2BE7397AE5?JOBID=55804&CNTRNO=4&TSTMP=1420559274383,,Jobs & Internships
"Dean, Agricultural & Environmental Sciences, McGill U",Jan 6 2015 - 2:27pm,"March 7, 2015","January 13, 2015",McGill University,,http://www.mcgill.ca/hr/sites/mcgill.ca.hr/files/ad_mcgill_dean_faes_vr.pdf,,Jobs & Internships
"Chair, Sustainable Development, Clemson U",Jan 7 2015 - 3:39pm,"March 8, 2015","January 13, 2015",Clemson University,,https://cubshr9e-clemson-edu.careerliaison.com/psp/hpprd/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&JobOpeningId=13094&SiteId=1&PostingSeq=1&jtsrc=http%3A%2F%2Fwww%2Eaashe%2Eorg%2Fpublications%2Fbulletin%2Ephp&jtsrcid=2868&jtrfr=,,Jobs & Internships
"Director, Physical Plant, Eureka College",Jan 7 2015 - 3:47pm,"March 8, 2015","January 13, 2015",Eureka College,,http://www.eureka.edu/job-postings/director-physical-plant/,,Jobs & Internships
"Director, Institute on the Environment, U Minnesota",Jan 12 2015 - 12:37pm,"March 13, 2015","January 13, 2015",,University of Minnesota St. Paul,http://www.imsearch.com/searches/details/content/S5-308,,Jobs & Internships
"Recruitment Coordinator, Second Nature",Jan 15 2015 - 11:32am,"March 16, 2015","January 20, 2015",Second Nature,,http://www.secondnature.org/who-we-are/employment#op-48647-recruitment-coordinator,,Jobs & Internships
"Sustainability Coordinator, St. Mary's College California",Jan 16 2015 - 9:35am,"March 17, 2015","January 20, 2015",,St. Mary's College of California,http://agency.governmentjobs.com/stmarys/default.cfm?action=viewJob&jobID=1026965&hit,,Jobs & Internships
"Dean of Science and Sustainability, Aquinas College",Jan 20 2015 - 11:19am,"March 21, 2015","January 27, 2015","Aquinas College (Grand Rapids, MI)",,http://www.aquinas.edu/hr/postings.html,,Jobs & Internships
"Asst Prof, Ecological Design of Sustainability Systems, U Vermont",Jan 20 2015 - 11:51am,"March 21, 2015","January 27, 2015",University of Vermont,,https://www.uvmjobs.com/postings/14025,,Jobs & Internships
"Sustainability Fellow, College of Saint Benedict",Jan 22 2015 - 4:50pm,"March 23, 2015","January 27, 2015",College of Saint Benedict,,http://agency.governmentjobs.com/csbsju/default.cfm?action=jobbulletin&JobID=1049825,,Jobs & Internships
"Co-Director, Leadership for Sustainability, U Vermont",Jan 22 2015 - 5:31pm,"March 23, 2015","January 27, 2015",University of Vermont,,https://www.uvmjobs.com/postings/14040,,Jobs & Internships
"Education/Outreach Coordinator, North Carolina State U",Jan 23 2015 - 3:30pm,"March 24, 2015","January 27, 2015",North Carolina State University,,https://americorps.hiringthing.com/job/20502/americorps-education-and-outreach-coordinator,,Jobs & Internships
"Coordinator, Sustainability Education, Central College",Jan 26 2015 - 8:06pm,"March 27, 2015","February 3, 2015",Central College,,http://central.interviewexchange.com/jobofferdetails.jsp;jsessionid=C26503FFFDA02D6B4889DC940737F8A9?JOBID=56558,,Jobs & Internships
"Director, University Studies, Portland State U",Jan 27 2015 - 12:29pm,"March 28, 2015","February 3, 2015",Portland State University,,https://jobs.hrc.pdx.edu/postings/14849,,Jobs & Internships
"Director, Sustainability, Indiana U Purdue U Indianapolis",Jan 27 2015 - 12:48pm,"March 28, 2015","February 3, 2015",Indiana University-Purdue University Indianapolis,,https://jobs.iu.edu/joblisting/index.cfm?jlnum=13090&search=2,,Jobs & Internships
"Director, Sustainable Communities Education Office, Georgia Tech",Jan 27 2015 - 6:01pm,"March 28, 2015","February 3, 2015",Georgia Institute of Technology,,http://serve-learn-sustain.gatech.edu/sites/default/files/images/sceio_director.pdf,,Jobs & Internships
"Web Application Developer, AASHE",Feb 2 2015 - 9:54am,"April 3, 2015","February 10, 2015 February 3, 2015",,AASHE,http://aashe.theresumator.com/apply/7TiVJb/Web-Application-Developer.html,,Jobs & Internships
"Water Resources Engineer, U North Carolina Chapel Hill",Feb 2 2015 - 3:04pm,"April 3, 2015","February 3, 2015",University of North Carolina at Chapel Hill,,https://unc.peopleadmin.com/postings/66846,,Jobs & Internships
"Director, Membership and Marketing, AASHE",Feb 2 2015 - 4:14pm,"April 3, 2015","February 10, 2015 February 3, 2015",,AASHE,http://aashe.theresumator.com/apply/twdi73/Director-Of-Membership-And-Marketing.html,,Jobs & Internships
"Program Mgr, Sustainable Cities Initiative, U Oregon",Feb 2 2015 - 10:34pm,"April 3, 2015","February 10, 2015",University of Oregon,,http://jobs.uoregon.edu/unclassified.php?id=5008,,Jobs & Internships
"Energy Data Systems Administrator, North Carolina State U",Feb 2 2015 - 10:37pm,"April 3, 2015","February 10, 2015",North Carolina State University,,https://jobs.ncsu.edu/postings/47995,,Jobs & Internships
"Sustainability Administrative Assistant, U Kentucky",Feb 6 2015 - 1:14pm,"April 7, 2015","February 10, 2015",University of Kentucky,,http://www.careerbuilder.com/jobseeker/jobs/jobdetails.aspx?sc_cmp1=js_jrp_jobclick&APath=2.21.0.0.0&job_did=JHP7LB795VBJ0DB20CV&showNewJDP=yes&IPath=QHTV0W,,Jobs & Internships
"Visiting Asst. Professor, Environ Studies, St. Mary's College",Feb 9 2015 - 1:25pm,"April 10, 2015","February 10, 2015",St. Mary's College of Maryland,,http://www.smcm.edu/hr/careers/#enviro_prof,,Jobs & Internships
2015 NWF EcoLeader Graduate Student Research Fellowships,Feb 11 2015 - 12:56pm,"April 12, 2015","February 17, 2015",National Wildlife Federation,,http://www.nwf.org/Campus-Ecology/Get-Involved/Apply-for-a-Fellowship.aspx,,Jobs & Internships
"Energy & Utility Manager, U Nevada Las Vegas",Feb 13 2015 - 1:14pm,"April 14, 2015","February 17, 2015","University of Nevada, Las Vegas",,http://www.higheredjobs.com/institution/details.cfm?JobCode=176020178&Title=Energy%20and%20Utility%20Manager%20%5B15125%5D&aID=584,,Jobs & Internships
"Sustainability Director, Messiah College",Feb 13 2015 - 1:16pm,"April 14, 2015","February 17, 2015",Messiah College,,https://jobs.messiah.edu/postings/5546,,Jobs & Internships
Real Food Challenge Fellowship 2015-2016,Feb 17 2015 - 12:03pm,"April 18, 2015","February 24, 2015",Real Food Challenge,,http://www.realfoodchallenge.org/fellowship,,Jobs & Internships
"Sustainability Coordinator, Concordia College",Feb 18 2015 - 12:53pm,"April 19, 2015","February 24, 2015",Concordia College-Moorhead,,https://hr.cord.edu/postings/1147,,Jobs & Internships
"Sustainability Officer, Florida Institute of Technology",Feb 18 2015 - 1:39pm,"April 19, 2015","February 24, 2015",Florida Institute of Technology,,https://fit.hiretouch.com/home/jobs-board/job-details?jobID=24716&job=university-sustainability-officer,,Jobs & Internships
"Student Engagement Project Planner, U Alberta",Feb 19 2015 - 2:59pm,"April 20, 2015","February 24, 2015",University of Alberta,,http://www.careers.ualberta.ca/Competition/S103923913D1/,,Jobs & Internships
"Sustainability Coordinator, Jacksonville U",Feb 19 2015 - 3:30pm,"April 20, 2015","February 24, 2015",Jacksonville University,,"http://www.glassdoor.com/job-listing/sustainability-coordinator-JV_IC1154093_KO0,26_IE29048.htm?jl=1328367297",,Jobs & Internships
"Strategic Management Faculty, The Ohio State U",Feb 23 2015 - 1:42pm,"April 24, 2015","March 03, 2015","Ohio State University, The",,http://fisher.osu.edu/supplements/10/5005/Position-Posting-Strategy-Chase_Chair-12-17-2014.pdf,,Jobs & Internships
U New Hampshire Sustainability Institute 2015 Climate Fellowship,Feb 24 2015 - 11:48am,"April 25, 2015","March 03, 2015",University of New Hampshire,,http://www.sustainableunh.unh.edu/climatefellows,,Jobs & Internships
"Sustainability Reporting Specialist, U Calgary",Feb 24 2015 - 12:34pm,"April 25, 2015","March 03, 2015",University of Calgary,,http://careers.ucalgary.ca/jobs/3429133-specialist-sustainability-reporting-office-of-sustainability,,Jobs & Internships
"Assistant Professor, Environment & Climate Change, MIT",Feb 26 2015 - 12:07pm,"April 27, 2015","March 03, 2015",Massachusetts Institute of Technology,,http://apply.interfolio.com/28496,,Jobs & Internships
"VP, Facilities Management & Campus Development, Tulane U",Feb 26 2015 - 12:48pm,"April 27, 2015","March 03, 2015",Tulane University,,https://selfservice.tulane.edu/OA_HTML/OA.jsp?page=/oracle/apps/irc/candidateSelfService/webui/VisVacDispPG&OAHP=IRC_EXT_SITE_VISITOR_APPL&OASF=IRC_VIS_VAC_DISPLAY&akRegionApplicationId=821&transactionid=686513456&retainAM=N&addBreadCrumb=RP&p_svid=6578&p,,Jobs & Internships
"Sustainability Marketing Specialist, U California Berkeley",Feb 26 2015 - 12:51pm,"April 27, 2015","March 03, 2015","University of California, Berkeley",,https://hrw-vip-prod.is.berkeley.edu/psp/JOBSPROD/EMPLOYEE/HRMS/c/HRS_HRS.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&JobOpeningId=19358&SiteId=1&PostingSeq=1,,Jobs & Internships
"Operational Sustainability Advisor, U Calgary",Feb 26 2015 - 2:09pm,"April 27, 2015","March 03, 2015",University of Calgary,,http://careers.ucalgary.ca/jobs/3447860-advisor-operational-sustainability-office-of-sustainability,,Jobs & Internships
"Electrical Engineer, U Arkansas Little Rock",Feb 26 2015 - 4:14pm,"April 27, 2015","March 03, 2015",University of Arkansas at Little Rock,,https://ualr.peopleadmin.com/postings/3177,,Jobs & Internships
"Education Program Associate, Sustainability Institute, Penn State",Mar 3 2015 - 2:38pm,"May 2, 2015","(Unpublished) March 10, 2015",Pennsylvania State University,,https://psu.jobs/job/55916,,Jobs & Internships

